Log file open, 08/26/14 01:24:40
LogInit:Display: Running engine for game: ProjectSky
LogInit: Version: 4.4.1-0+UE4
LogInit: API Version: 0
LogInit: Compiled (64-bit): Aug 24 2014 23:57:45
LogInit: Build Configuration: Development
LogInit: Branch Name: UE4
LogInit: Command line: 
LogInit: Base directory: /home/oliver/Git/UnrealEngine/Engine/Binaries/Linux/
LogInit: Rocket: 0
[2014.08.25-17.24.40:941][  0]LogTaskGraph: Started task graph with 3 named threads and 4 total threads.
[2014.08.25-17.24.40:948][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2014.08.25-17.24.40:992][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2014.08.25-17.24.40:998][  0]LogInit: Object subsystem initialized
[2014.08.25-17.24.41:000][  0]LogInit: Selected Device Profile: [Linux]
[2014.08.25-17.24.41:000][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Linux]
[2014.08.25-17.24.41:022][  0]LogInit: Initializing SDL.
[2014.08.25-17.24.41:288][  0]LogInit:  - Physical RAM available (not considering process quota): 12 GB (11903 MB, 12188748 KB, 12481277952 bytes)
[2014.08.25-17.24.41:624][  0]LogRHI:Warning: disabling reporting back of debug groups and markers to the OpenGL debug output callback
[2014.08.25-17.24.41:720][  0]LogRHI:Warning: disabling reporting back of debug groups and markers to the OpenGL debug output callback
[2014.08.25-17.24.41:720][  0]LogRHI: Initializing OpenGL RHI
[2014.08.25-17.24.41:720][  0]LogRHI:   GL_VENDOR: ATI Technologies Inc.
[2014.08.25-17.24.41:720][  0]LogRHI:   GL_RENDERER: AMD Radeon HD 8600/8700M
[2014.08.25-17.24.41:720][  0]LogRHI:   GL_VERSION: 3.2.12798 Core Profile Forward-Compatible Context 13.35.1005
[2014.08.25-17.24.41:720][  0]LogRHI:   GL_SHADING_LANGUAGE_VERSION: 4.30
[2014.08.25-17.24.41:722][  0]LogRHI: OpenGL Extensions:
[2014.08.25-17.24.41:722][  0]LogRHI:   GL_AMDX_debug_output
[2014.08.25-17.24.41:722][  0]LogRHI:   GL_AMD_blend_minmax_factor
[2014.08.25-17.24.41:722][  0]LogRHI:   GL_AMD_conservative_depth
[2014.08.25-17.24.41:722][  0]LogRHI:   GL_AMD_debug_output
[2014.08.25-17.24.41:722][  0]LogRHI:   GL_AMD_depth_clamp_separate
[2014.08.25-17.24.41:722][  0]LogRHI:   GL_AMD_draw_buffers_blend
[2014.08.25-17.24.41:722][  0]LogRHI:   GL_AMD_framebuffer_sample_positions
[2014.08.25-17.24.41:722][  0]LogRHI:   GL_AMD_gcn_shader
[2014.08.25-17.24.41:722][  0]LogRHI:   GL_AMD_gpu_shader_int64
[2014.08.25-17.24.41:722][  0]LogRHI:   GL_AMD_interleaved_elements
[2014.08.25-17.24.41:722][  0]LogRHI:   GL_AMD_multi_draw_indirect
[2014.08.25-17.24.41:722][  0]LogRHI:   GL_AMD_name_gen_delete
[2014.08.25-17.24.41:722][  0]LogRHI:   GL_AMD_performance_monitor
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_pinned_memory
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_query_buffer_object
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_sample_positions
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_seamless_cubemap_per_texture
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_shader_atomic_counter_ops
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_shader_stencil_export
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_shader_stencil_value_export
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_shader_trace
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_shader_trinary_minmax
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_stencil_operation_extended
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_texture_cube_map_array
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_texture_texture4
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_transform_feedback3_lines_triangles
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_transform_feedback4
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_vertex_shader_layer
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_AMD_vertex_shader_viewport_index
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_ARB_ES2_compatibility
[2014.08.25-17.24.41:723][  0]LogRHI:   GL_ARB_ES3_compatibility
[2014.08.25-17.24.41:724][  0]LogRHI:   GL_ARB_arrays_of_arrays
